gas_level,gas_result
2885,caution
257,danger
3304,caution
2000,caution
1734,danger
2710,caution
3570,safe
3679,safe
427,danger
3735,safe
2727,caution
2175,caution
113,danger
1947,danger
3249,caution
1249,danger
2770,caution
1972,danger
888,danger
2306,caution
264,danger
3275,caution
1758,danger
3700,safe
3561,safe
265,danger
640,danger
3242,caution
95,danger
3550,safe
1841,danger
2296,caution
3543,safe
3454,caution
3212,caution
3661,safe
167,danger
1021,danger
3634,safe
1929,danger
3164,caution
676,danger
792,danger
3332,caution
3623,safe
503,danger
1270,danger
540,danger
1219,danger
2709,caution
1649,danger
1739,danger
3723,safe
3324,caution
905,danger
1239,danger
2852,caution
2136,caution
29,danger
1487,danger
1199,danger
1001,danger
1712,danger
3584,safe
3532,safe
663,danger
508,danger
687,danger
3445,caution
1583,danger
2304,caution
3362,caution
673,danger
2607,caution
3710,safe
2805,caution
2078,caution
259,danger
3784,safe
1544,danger
870,danger
958,danger
3828,safe
1033,danger
2225,caution
3851,safe
720,danger
3467,caution
1212,danger
1211,danger
1145,danger
3772,safe
1914,danger
3763,safe
3249,caution
2203,caution
2762,caution
2575,caution
229,danger
298,danger
1814,danger
507,danger
3737,safe
676,danger
1155,danger
423,danger
2735,caution
1688,danger
810,danger
122,danger
743,danger
1433,danger
728,danger
1231,danger
1213,danger
493,danger
3716,safe
3364,caution
3887,safe
3013,caution
1004,danger
1736,danger
3736,safe
2491,caution
1581,danger
2175,caution
796,danger
533,danger
3761,safe
2653,caution
1415,danger
1327,danger
1549,danger
1423,danger
2201,caution
2383,caution
1833,danger
2869,caution
1259,danger
205,danger
1108,danger
2856,caution
1387,danger
464,danger
3348,caution
3497,caution
434,danger
1633,danger
2565,caution
1318,danger
999,danger
3879,safe
2187,caution
1205,danger
3800,safe
2772,caution
3613,safe
3329,caution
3147,caution
101,danger
657,danger
1883,danger
1649,danger
593,danger
2948,caution
1276,danger
1323,danger
1237,danger
2031,caution
3401,caution
2931,caution
3130,caution
3797,safe
1146,danger
3782,safe
3693,safe
3605,safe
1231,danger
3940,safe
2741,caution
1427,danger
2034,caution
3978,safe
1401,danger
1210,danger
554,danger
1622,danger
1454,danger
2186,caution
2907,caution
1534,danger
2536,caution
3703,safe
2164,caution
1884,danger
924,danger
238,danger
1782,danger
1110,danger
1351,danger
